,user,date,text,favorite_count,polarity,subjectivity
37,patrickomari,Wed Sep 19 09:12:49 +0000 2018,"@kenyanpundit Housing tax is depressing. It is an avenue to create another KPLC,NHIF and  such like silly entities… https://t.co/5JDbR3xeeU",8,-0.3666666666666667,0.7583333333333333
14,TheStarKenya,Wed Sep 19 11:17:24 +0000 2018,KPLC barred from cutting supply to Heritage House https://t.co/QhloMuvwc2 via @muhindi_suu,6,-0.6,0.9
9,wahome__,Wed Sep 19 11:37:06 +0000 2018,Safaricom featuring kplc https://t.co/yv9qZ1juzY,4,0.0,0.0
97,brevin_dede,Tue Sep 18 19:04:27 +0000 2018,@MurimiMwihaki @MboyaApollo @KenyaPower Whatever they always make when will they end with the repairs Embakasi peop… https://t.co/UrFx2BMGWg,3,0.0,0.0
36,nahashon87,Wed Sep 19 09:13:35 +0000 2018,@Ciku_Muriithi I just did that a couple of hours ago 😂😂😂 KPLC is not trustworthy. You never know what might be happening,2,0.0,0.0
27,MuliBenson,Wed Sep 19 10:30:12 +0000 2018,"@KenyaPower @kepaja_trust How to reply a KPLC tweet...
You’ve made our Light 💡🤣🤣🤣",1,0.4,0.7
94,Ziongatekeeper1,Tue Sep 18 19:08:30 +0000 2018,"@cwyyell From charcoal to ivory, from Kplc to baby selling business. #MulikaPumwani
It's very sad",1,-0.65,1.0
58,Paperboyrocks,Wed Sep 19 03:44:36 +0000 2018,@BenjiNdolo @francis_mmakau @TrottoirRadio @MikeSonko Did anyone ask the county why they have not equipped Pumwani?… https://t.co/zs0701ArSy,1,0.0,0.0
43,Smokinkaj,Wed Sep 19 06:51:04 +0000 2018,@KenyaPower @KenyaPower_Care And as local contractors we cannot take pride in this as no works are going to local C… https://t.co/g6nLUDm5uA,1,0.0,0.0
69,venditkenya,Tue Sep 18 21:02:40 +0000 2018,"@bennytothedj @SafaricomPLC @KenyaPower Hello @bennytothedj  please receive the token number as below:
KPLC Mtr No:… https://t.co/wWDzn62I3g",1,0.0,0.0
67,venditkenya,Tue Sep 18 21:12:44 +0000 2018,@karugujk Hello @karugujk The transaction has been credited successfully to an existing prepaid  meter and the mone… https://t.co/p33ERpFQy4,0,0.75,0.95
70,raykip55yahooco,Tue Sep 18 20:41:10 +0000 2018,"RT @allen_arnold: Can we give Museveni a few cows as a bride price for Bobi Wine?
Cows such as:
Moses Kuria
Duale
Murkomen
Waititu
Okoth Ob…",0,-0.1,0.3
68,venditkenya,Tue Sep 18 21:05:12 +0000 2018,"@kabuina @KenyaPower_Care @KenyaPower Hello @kabuina please receive the token number as follows:
 KPLC Mtr No:14105… https://t.co/aiJLcDaRZ9",0,0.0,0.0
65,MurimiMwihaki,Tue Sep 18 21:13:16 +0000 2018,RT @brevin_dede: @MurimiMwihaki @MboyaApollo @KenyaPower Whatever they always make when will they end with the repairs Embakasi people who…,0,0.0,0.0
71,shiriyy,Tue Sep 18 20:06:03 +0000 2018,@KenyaPower_Care @KenyaPower 1 and a half out later yet to get the allocation for the above purchase 'MII9QD4PQ5 Co… https://t.co/hT6ORVxRxA,0,-0.05555555555555555,0.08888888888888889
72,kamaronnoh,Tue Sep 18 20:02:16 +0000 2018,"@KenyaPower  @kenyapowercare_ 
Rotten old KPLC pole collapsed, crushing 3 cars.  Thus leaving residents with no lig… https://t.co/dWzoZu7MMR",0,0.25,0.55
66,venditkenya,Tue Sep 18 21:12:51 +0000 2018,@karugujk P.S. Carry you National I.D card when you visit the KPLC office.,0,0.0,0.0
0,FOX29LC,Wed Sep 19 13:33:39 +0000 2018,Ben Terry KPLC has your Wednesday morning Tropical Update https://t.co/lpsrVoL4w5,0,0.0,0.0
64,Gee71742751,Tue Sep 18 21:34:00 +0000 2018,"@duncans_twitt @gabrieloguda Maize scandal, the sports scandal, the suger scandal, the rice scandal, the land scand… https://t.co/VzYfmXPPB7",0,0.0,0.0
63,okeng_o,Tue Sep 18 21:37:18 +0000 2018,RT @brevin_dede: @MurimiMwihaki @MboyaApollo @KenyaPower Whatever they always make when will they end with the repairs Embakasi people who…,0,0.0,0.0
74,KimweleKing,Tue Sep 18 19:57:19 +0000 2018,@KenyaPower_Care Just paid for my power &amp; havent received tokens. Pls help. MII1QD4YTZ Confirmed. Ksh200.00 sent to… https://t.co/ss6JiBvu9O,0,0.4,1.0
62,HassanKadubo,Tue Sep 18 21:39:15 +0000 2018,"RT @allen_arnold: Can we give Museveni a few cows as a bride price for Bobi Wine?
Cows such as:
Moses Kuria
Duale
Murkomen
Waititu
Okoth Ob…",0,-0.1,0.3
61,YaWakenya,Wed Sep 19 01:40:08 +0000 2018,#kplccustomercarehey kplc I buy tokens then this is the message I get o don't even understand  it....... Specified… https://t.co/IU80RkD34V,0,0.0,0.0
