,user,date,text,favorite_count,polarity,subjectivity
55,TheStarKenya,Tue Sep 18 03:00:21 +0000 2018,"Matiang'i seeks suspects' bail, bond terms review to save court time https://t.co/ahH62sHuwI https://t.co/svAmF0POvT",4,0.0,0.0
11,Citizen_Alert1,Wed Sep 19 10:20:24 +0000 2018,The Matiangi led xenophobic crusade against foreigners in #Kenya has entered the second phase: Police shaking down… https://t.co/vhbgh5w6DD,3,0.0,0.0
26,MwicigiKamotho,Tue Sep 18 16:51:06 +0000 2018,"@MugamboWaAfrica This is crazy, are the kids sold for adoption to rich childless couple ama ni for human sacrifice?… https://t.co/KLmD73YgpF",2,-0.075,0.5833333333333334
23,ShiunduRonald,Wed Sep 19 05:57:28 +0000 2018,@FredMatiangi @Dr.Fred Matiangi There is need to have an accessible entrance to nyayo house for the disabled.... https://t.co/sL1ThgL9ho,2,0.0875,0.3375
25,TheKenyanPost,Tue Sep 18 17:19:30 +0000 2018,Matiangi says he is ready to support Raila Odinga in 2022- Ruto is going nowhere in 2022 https://t.co/Dy9GvyG5Fs,1,0.2,0.5
95,MacOmbima,Mon Sep 17 16:51:53 +0000 2018,Matiangi is everywhere with the security reforms that doesn't make sense at all.This is bullshit!people getting kid… https://t.co/zVeSC6N7Qs,1,0.0,0.0
34,kiplangatLedama,Tue Sep 18 10:20:27 +0000 2018,"parliament have never been independent,its controlled by exercutive that is why when Matiangi was surmoned befor pa… https://t.co/axX5K6imQq",1,0.0,0.0
67,Elkanna2,Mon Sep 17 19:34:19 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
74,Dennis65363006,Mon Sep 17 18:24:57 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
73,Vevenock,Mon Sep 17 18:25:24 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
72,nathan_bosire,Mon Sep 17 18:33:33 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
71,Arcndege,Mon Sep 17 18:39:27 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
70,IsaRay15,Mon Sep 17 18:41:18 +0000 2018,"Sonko : What can we do to reform pumwani hospital ? 
Matiangi : Get some two Cuban medics, Change the name if the h… https://t.co/OgmJ2Q61gL",0,0.0,0.0
69,SammiNderitu,Mon Sep 17 19:26:53 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
