,user,date,text,favorite_count,polarity,subjectivity
67,BD_Africa,Wed Sep 19 11:37:46 +0000 2018,"Safricom’s  data centre in Thika has received Tier III certification from Uptime Institute, a third-party American… https://t.co/hTKsjM4Etu",4,0.0,0.0
39,I_am_Gathoni,Wed Sep 19 12:01:26 +0000 2018,"@tumechanuka @DumeSingh Ata mimi sielewi! So safaricom,  their big cash cow, is also going to take a hit? What abou… https://t.co/A6o9ZMgqWD",1,-0.06666666666666667,0.13333333333333333
49,phatg_erick,Wed Sep 19 11:52:18 +0000 2018,"#KCACulturalweek 
@kcauniversity 
Thank you the sponsors,making it happen
@Safaricom_Care @McaTricky https://t.co/acPq1zr5ze",1,0.0,0.0
69,wahome__,Wed Sep 19 11:37:06 +0000 2018,Safaricom featuring kplc https://t.co/yv9qZ1juzY,1,0.0,0.0
62,Safaricom_Care,Wed Sep 19 11:39:40 +0000 2018,"@Nucho_ Hi Ras, if you have deactivated the messages in vain, please liaise with the provider on their chargeable c… https://t.co/FG0S71lLfC",0,0.0,0.0
72,NyambokG,Wed Sep 19 11:34:19 +0000 2018,@Safaricom_Care Dates And months! Not specific times within the day.... Vague response! You're just expensive. Very… https://t.co/H9aIsgIVhH,0,-0.375,0.44166666666666665
71,Nucho_,Wed Sep 19 11:34:44 +0000 2018,"@Safaricom_Care can you kindly STOP this messages by 79079, I have unsubscribed to that service at least 5 times an… https://t.co/ltsf8aNxQi",0,0.15,0.65
70,musira_ian,Wed Sep 19 11:35:33 +0000 2018,@Safaricom_Care Kindly check DM,0,0.6,0.9
68,Safaricom_Care,Wed Sep 19 11:37:40 +0000 2018,@musira_ian Shortly.^GW,0,0.0,0.0
66,IamElvisMvoi,Wed Sep 19 11:38:23 +0000 2018,RT @MasokoKe: Ukona Bonga Points ngapi? Don’t sambaza them. Use them to shop on &gt;&gt; https://t.co/94bgLWq0Tn #onlineshopping #masoko #safaric…,0,0.0,0.0
65,jammax_1,Wed Sep 19 11:38:26 +0000 2018,RT @MuthuiMkenya: Ex-employee who invented Safaricom's 'Please Call Me' demands KSh 45 billion in compensation. Safaricom is in the habit o…,0,0.0,0.0
64,ClaireFlatcher7,Wed Sep 19 11:39:20 +0000 2018,RT @Outerfoot: @Safaricom_Care Replied,0,0.0,0.0
63,Owiraowira,Wed Sep 19 11:39:29 +0000 2018,RT @pesa_africa: The cost of sending money through mobile services such as Safaricom’s M-Pesa will increase further after President Uhuru K…,0,0.0,0.5
0,tiffah_abeid,Wed Sep 19 12:23:49 +0000 2018,"@Safaricom_Care i want to create my own skiza tune and sell it, how do I go about it? My email is latifahmaliq@gmail",0,0.6,1.0
74,george_rama,Wed Sep 19 11:34:05 +0000 2018,Safaricom gets a 3 tier certification for its biggest data centre at Thika https://t.co/Iw3Fb8bvnl https://t.co/8yYsOsQPLr,0,0.0,0.0
61,mohonde7,Wed Sep 19 11:41:16 +0000 2018,"RT @wmnjoya: GoK is not taxing banks. It's taxing bank transfers. It's not taxing Safaricom. It's taxing mobile money. So essentially, fore…",0,0.0,0.3
60,chegewawairimu,Wed Sep 19 11:41:53 +0000 2018,"@SafaricomPLC no I asked safaricom to block my line when it got lost ,now i have replaced need to unblock.asist",0,0.0,0.0
59,KoteneSnr,Wed Sep 19 11:42:59 +0000 2018,RT @wahome__: Safaricom featuring kplc https://t.co/yv9qZ1juzY,0,0.0,0.0
58,CRYPTOONEDAY,Wed Sep 19 11:43:39 +0000 2018,RT @pesa_africa: The cost of sending money through mobile services such as Safaricom’s M-Pesa will increase further after President Uhuru K…,0,0.0,0.5
57,Nucho_,Wed Sep 19 11:44:59 +0000 2018,"@Safaricom_Care I didn't buy my line from sportpesa,I bought it from your shops,I have never subscribed to their te… https://t.co/Q9JaByaLZC",0,0.0,0.0
56,mpendaraha18,Wed Sep 19 11:45:34 +0000 2018,"RT @BD_Africa: Safricom’s  data centre in Thika has received Tier III certification from Uptime Institute, a third-party American firm that…",0,-0.1,0.2
55,talemwaah,Wed Sep 19 11:46:45 +0000 2018,"RT @wmnjoya: GoK is not taxing banks. It's taxing bank transfers. It's not taxing Safaricom. It's taxing mobile money. So essentially, fore…",0,0.0,0.3
54,TSvelte,Wed Sep 19 11:47:46 +0000 2018,@Safaricom_Care Got it sorted. Though I did not really understand the technical jargon of what he did to solve the… https://t.co/CVW3msfJNE,0,-0.05,0.15000000000000002
53,TSvelte,Wed Sep 19 11:48:26 +0000 2018,@Safaricom_Care And ^NP No problem,0,0.0,0.0
73,BanaKenya,Wed Sep 19 11:34:06 +0000 2018,Safaricom gets a 3 tier certification for its biggest data centre at Thika: Safaricom Telco awarded a 3 tier certif… https://t.co/ROEVXj6Bq5,0,0.0,0.0
75,j_obedi,Wed Sep 19 11:34:05 +0000 2018,@FarahKhaleck @Safaricom_Care Me too...thanks 😋😋,0,0.0,0.0
51,EdwinOkwara,Wed Sep 19 11:50:37 +0000 2018,@Safaricom_Care @bobcollymore Any progress.....?,0,0.0,0.0
88,_Kevin_Paul,Wed Sep 19 11:17:48 +0000 2018,RT @MuthuiMkenya: Ex-employee who invented Safaricom's 'Please Call Me' demands KSh 45 billion in compensation. Safaricom is in the habit o…,0,0.0,0.0
98,rosekamau_,Wed Sep 19 11:11:25 +0000 2018,RT @MuthuiMkenya: Ex-employee who invented Safaricom's 'Please Call Me' demands KSh 45 billion in compensation. Safaricom is in the habit o…,0,0.0,0.0
