,user,date,text,favorite_count,polarity,subjectivity
96,johncardillo,Wed Sep 19 14:54:06 +0000 2018,"Ford's attorney looked like a deer in the headlights on CNN. 

I think she took the case after a call from Senate D… https://t.co/hw5uqeTbdc",2,0.0,0.0
0,csedgman,Wed Sep 19 14:54:20 +0000 2018,"@wvjoe911 Every time a @GOP Senate candidate posts something like this, they make it easier for Dems in the midterm… https://t.co/EpDv0YdBB9",0,0.0,0.0
62,ecogordo,Wed Sep 19 14:54:11 +0000 2018,"RT @MillenPolitics: In the 220 year history of the United States, there has never been a female Republican on the Senate Judiciary Committe…",0,0.0,0.16666666666666666
72,Lady_LeGrey,Wed Sep 19 14:54:10 +0000 2018,"RT @Jali_Cat: 💥@GOP candidate @PeteFlores_TX won #SD19 which has been a @DNC seat for 139 yrs!💥

He is the first Hispanic Republican ever e…",0,0.25,0.3333333333333333
71,colingladden,Wed Sep 19 14:54:10 +0000 2018,RT @Lawrence: The Republican Senate abusers of Professor Anita Hill are now trying to abuse Professor Christine Blasey Ford. @OrrinHatch @C…,0,0.0,0.0
70,corvuss777,Wed Sep 19 14:54:10 +0000 2018,RT @DRUDGE_REPORT: Senate approves $854B bill... https://t.co/QfCWUQsa7b,0,0.0,0.0
69,pamaustin49,Wed Sep 19 14:54:10 +0000 2018,BREAKING: Senate Judiciary Committee Vote Will Be Held REGARDLESS Of Accusation https://t.co/zaUnx1dgam via @en_volve,0,0.0,0.0
68,polluxc,Wed Sep 19 14:54:10 +0000 2018,"RT @SEEKINGTHETRU17: US Senate approved an increase in military aid to Ukraine. According to the draft of the Pentagon budget for 2019, the…",0,-0.1,0.1
67,LermanSenter,Wed Sep 19 14:54:10 +0000 2018,"Music Modernization Act
passes Senate; bill intended to provide “a framework for better compensation of artists for… https://t.co/91EAiATxZw",0,0.5,0.5
66,rockie_springer,Wed Sep 19 14:54:10 +0000 2018,RT @Thomas1774Paine: SENATE THROW DOWN: Graham calls Feinstein’s handling of Kavanaugh allegations ‘a drive-by shooting’ https://t.co/yT7yY…,0,-0.15555555555555559,0.2888888888888889
65,sayitisnottrue,Wed Sep 19 14:54:11 +0000 2018,"RT @NRA: In the U.S. Senate, @jontester voted against the state management of wildlife. This mailer is just another example of Jon Tester s…",0,0.0,0.0
64,myavatarkorra,Wed Sep 19 14:54:11 +0000 2018,RT @Lawrence: The Republican Senate abusers of Professor Anita Hill are now trying to abuse Professor Christine Blasey Ford. @OrrinHatch @C…,0,0.0,0.0
63,wesjr43,Wed Sep 19 14:54:11 +0000 2018,"RT @senorrinhatch: A reminder— Senate Democrats intentionally witheld this information from the FBI for nearly two months, circumventing th…",0,0.1,0.4
61,PrincessBravato,Wed Sep 19 14:54:11 +0000 2018,RT @NAACP: We wholeheartedly support Dr. Blasey Ford. Her allegations must be fully investigated by FBI before Senate holds any hearing. Th…,0,0.0,0.0
74,DevitoLynn,Wed Sep 19 14:54:09 +0000 2018,RT @RealJamesWoods: “Shouldn’t be a rush into hearing...” #MeTooHucksters are going to hold the United States Senate hostage to their shena…,0,0.0,0.0
60,janrobinjackson,Wed Sep 19 14:54:12 +0000 2018,"RT @JayEmme00: “Brett &amp; I were part of a close circle of cold, cynical, ambitious hard-right operatives being groomed by GOP elders for muc…",0,-0.31666666666666665,0.9166666666666666
59,DorisMele,Wed Sep 19 14:54:12 +0000 2018,"RT @SebGorka: PS. Kamala: 

The fact that you think the FBI investigates sexual assault allegations in Montogmery County means you have no…",0,0.5,0.8333333333333334
58,t2uhhuh,Wed Sep 19 14:54:12 +0000 2018,RT @JoyceWhiteVance: Dr. Ford has been forced from her home &amp; threatened with death after making highly credible allegations Kavanaugh sexu…,0,0.04999999999999999,0.44999999999999996
57,thevongie,Wed Sep 19 14:54:12 +0000 2018,"RT @K8_Waters: You were in the United States Senate, voting against making MLK Day a holiday. https://t.co/4XXryESEkC",0,0.0,0.0
56,tlcjoane,Wed Sep 19 14:54:12 +0000 2018,RT @JoyceWhiteVance: Dr. Ford has been forced from her home &amp; threatened with death after making highly credible allegations Kavanaugh sexu…,0,0.04999999999999999,0.44999999999999996
55,undergpossum,Wed Sep 19 14:54:12 +0000 2018,"RT @tribelaw: It appears that Mark Judge says he won’t voluntarily testify under oath. If that’s true, the Senate Judiciary Committee must…",0,0.35,0.65
54,TattooQ,Wed Sep 19 14:54:12 +0000 2018,RT @seanmdav: It wasn’t supposed to go this far. Senate Republicans were supposed to buckle. Trump was supposed to get wobbly. Kavanaugh wa…,0,0.1,1.0
53,MattMurph24,Wed Sep 19 14:54:12 +0000 2018,RT @Lawrence: Maybe nominating a guy who got rebuked by Senate Ethics Committee and got a hung jury in his corruption trial wasn’t the best…,0,0.0,0.0
52,Sinbaddusnavy,Wed Sep 19 14:54:12 +0000 2018,"RT @KamVTV: Last night for the first time in 139 years, a Republican FLIPPED a blue seat to RED in Texas in special election!! 

Hows that…",0,0.16160714285714287,0.21428571428571427
73,cocoathepuff,Wed Sep 19 14:54:09 +0000 2018,RT @jameshohmann: Professor Ford's eagerness to talk to FBI investigators is significant because she knows making a false statement to the…,0,-0.012500000000000039,0.7375
75,PeteDKY,Wed Sep 19 14:54:09 +0000 2018,RT @Thomas1774Paine: Feinstein should be indicted and removed from the Senate for perpetrating a fraud.,0,0.0,0.0
1,Patta47cake,Wed Sep 19 14:54:19 +0000 2018,"RT @MSignorile: Trump just said, “it’s up to the Senate.” 

But he  can and should call for an FBI investigation.

So the Senate should cal…",0,0.0,0.0
76,auntkey,Wed Sep 19 14:54:09 +0000 2018,RT @krassenstein: The party that nominated the pussy-grabber for President and the one who supported an alleged pedophile for Senate will n…,0,-0.1,0.1
98,AdvertisingLaw,Wed Sep 19 14:54:06 +0000 2018,RT @PressSec: Now clear why top Democrat on Senate Judiciary Committee did nothing with allegation for months or even ask Judge Kavanaugh a…,0,0.3,0.44166666666666665
97,ValKHeadley,Wed Sep 19 14:54:06 +0000 2018,RT @ProfMJCleveland: Delay b/w when Senate Republicans contacted Ford to testify &amp; Ford's attorney's response leads me to believe they were…,0,0.0,0.0
95,Rstreet212,Wed Sep 19 14:54:07 +0000 2018,@write2bheard1 @kaitlancollins @MicheleJeanson1 @SenateGOP Good grief. Smythe wrote a letter of recommendation this… https://t.co/Tq0jekLGb4,0,-0.050000000000000044,0.4
94,RogerGrm,Wed Sep 19 14:54:07 +0000 2018,RT @ProfMJCleveland: Delay b/w when Senate Republicans contacted Ford to testify &amp; Ford's attorney's response leads me to believe they were…,0,0.0,0.0
